Species,tail.tipped,SVL
torosa,y,22
torosa,y,22
torosa,y,23
torosa,y,24
torosa,y,20
torosa,n,23
torosa,n,18
torosa,n,25
torosa,y,23
torosa,y,21
torosa,y,19
torosa,y,18
torosa,n,20
torosa,n,22
torosa,y,18
torosa,y,19
torosa,n,23
torosa,y,20
torosa,y,17
torosa,y,20
torosa,n,25
torosa,n,21
torosa,y,20
torosa,y,19
torosa,n,22
torosa,y,19
torosa,n,19
torosa,y,21
torosa,n,23
torosa,n,22
torosa,n,22
torosa,y,22
torosa,y,22
torosa,n,22
torosa,y,24
torosa,n,22
torosa,y,22
torosa,y,21
torosa,y,21
torosa,y,21
torosa,y,20
torosa,n,25
torosa,y,24
torosa,n,21
torosa,n,19
torosa,y,19
torosa,y,22
torosa,y,17
torosa,y,22
torosa,y,21
torosa,y,21
torosa,y,20
torosa,y,23
torosa,n,20
torosa,n,16
torosa,y,19
torosa,y,20
torosa,y,19
torosa,n,24
torosa,y,20
torosa,y,21
torosa,y,19
torosa,y,22
torosa,y,19
torosa,y,20
torosa,y,21
torosa,y,17
torosa,y,21
torosa,n,20
torosa,y,21
torosa,y,21
torosa,y,21
torosa,n,20
torosa,n,22
torosa,n,23
torosa,n,24
torosa,y,20
torosa,n,24
torosa,n,23
torosa,y,18
torosa,y,21
torosa,n,23
torosa,y,24
granulosa,y,16
granulosa,n,15
granulosa,n,16
granulosa,n,11
granulosa,n,19
granulosa,y,17
granulosa,n,14
granulosa,y,17
granulosa,n,15
granulosa,n,19
granulosa,n,14
granulosa,n,20
granulosa,n,17
granulosa,n,16
granulosa,n,20
granulosa,n,11
granulosa,n,14
granulosa,n,21
granulosa,n,19
granulosa,n,19
granulosa,n,15
granulosa,n,19
granulosa,n,18
granulosa,n,14
granulosa,n,12
granulosa,n,21
granulosa,n,19
granulosa,n,19
granulosa,y,16
granulosa,n,18
granulosa,y,11
granulosa,n,14
granulosa,n,18
granulosa,n,19
granulosa,n,15
granulosa,n,14
granulosa,y,15
granulosa,n,11
granulosa,n,12
granulosa,n,16
granulosa,n,16
granulosa,y,17
granulosa,n,12
granulosa,n,16
granulosa,n,15
granulosa,n,23
granulosa,y,20
granulosa,n,18
granulosa,n,16
granulosa,n,8
granulosa,n,16
granulosa,y,17
granulosa,n,15
granulosa,y,12
granulosa,n,14
granulosa,y,15
granulosa,n,14
granulosa,n,12
granulosa,y,17
granulosa,n,10
granulosa,n,10
granulosa,n,18
granulosa,n,14
granulosa,y,17
granulosa,n,13
granulosa,n,16
granulosa,y,12
granulosa,n,14
granulosa,n,15
granulosa,n,14
granulosa,y,13
granulosa,n,14
granulosa,n,17
granulosa,y,13
granulosa,n,12
granulosa,y,16
granulosa,n,15
granulosa,n,14
granulosa,n,14
granulosa,n,15
granulosa,y,12
granulosa,y,10
granulosa,n,18
granulosa,n,16
granulosa,y,15
granulosa,n,12
granulosa,n,12
granulosa,n,14
granulosa,y,15
granulosa,n,18
granulosa,y,17
granulosa,y,11
granulosa,n,13
granulosa,y,17
granulosa,n,16
granulosa,n,15
granulosa,n,16
granulosa,n,18
granulosa,y,16
granulosa,n,19
granulosa,y,11
granulosa,n,14
granulosa,n,12
granulosa,n,16
granulosa,y,12
granulosa,n,15
granulosa,n,8
granulosa,n,10
granulosa,n,15
granulosa,y,15
granulosa,n,11
granulosa,n,16
granulosa,n,16
granulosa,n,14
granulosa,y,15
granulosa,n,15
granulosa,n,13
granulosa,n,12
granulosa,n,18
granulosa,n,15
granulosa,y,11
granulosa,y,14
granulosa,y,10
granulosa,y,10
granulosa,y,11
granulosa,y,11
granulosa,n,11
granulosa,y,15
granulosa,n,13
granulosa,n,11
granulosa,n,12
granulosa,n,9
granulosa,n,14
granulosa,n,14
granulosa,n,12
granulosa,n,14
granulosa,n,13
granulosa,n,16
granulosa,n,16
granulosa,y,15
granulosa,n,16
granulosa,n,18
granulosa,n,14
granulosa,n,13
granulosa,n,11
granulosa,n,12
granulosa,n,11
granulosa,n,14
granulosa,n,11
granulosa,n,12
granulosa,n,15
granulosa,n,13
granulosa,n,14
granulosa,n,9
granulosa,y,9
granulosa,n,10
granulosa,n,14
granulosa,y,11
granulosa,y,13
granulosa,y,14
granulosa,y,13
granulosa,y,13
granulosa,y,14
granulosa,n,14
granulosa,n,12
granulosa,n,15
